id_producto,nombre,categoria,precio,stock
1,Producto_1,Deportes,441647,196
2,Producto_2,Hogar,323276,460
3,Producto_3,Vestuario,119821,375
4,Producto_4,Hogar,330525,178
5,Producto_5,Hogar,334382,99
6,Producto_6,Tecnologia,166969,453
7,Producto_7,Deportes,22492,346
8,Producto_8,Vestuario,388967,117
9,Producto_9,Tecnologia,481906,201
10,Producto_10,Vestuario,396895,262
11,Producto_11,Hogar,110274,117
12,Producto_12,Vestuario,283319,306
13,Producto_13,Vestuario,440406,134
14,Producto_14,Vestuario,484224,472
15,Producto_15,Deportes,427832,201
16,Producto_16,Vestuario,426649,108
17,Producto_17,Deportes,44478,122
18,Producto_18,Hogar,455961,396
19,Producto_19,Deportes,448413,461
20,Producto_20,Vestuario,52344,454
21,Producto_21,Deportes,12297,185
22,Producto_22,Tecnologia,243438,238
23,Producto_23,Vestuario,311477,245
24,Producto_24,Vestuario,61804,395
25,Producto_25,Hogar,252189,62
26,Producto_26,Vestuario,484857,362
27,Producto_27,Hogar,344556,82
28,Producto_28,Deportes,481781,408
29,Producto_29,Vestuario,345388,259
30,Producto_30,Tecnologia,78283,73
31,Producto_31,Tecnologia,164574,302
32,Producto_32,Tecnologia,55956,170
33,Producto_33,Hogar,208762,282
34,Producto_34,Vestuario,356527,430
35,Producto_35,Deportes,312935,430
36,Producto_36,Hogar,469211,262
37,Producto_37,Tecnologia,442095,300
38,Producto_38,Deportes,497334,193
39,Producto_39,Tecnologia,366905,239
40,Producto_40,Hogar,237460,277
41,Producto_41,Hogar,453502,235
42,Producto_42,Tecnologia,364493,238
43,Producto_43,Vestuario,36745,253
44,Producto_44,Vestuario,104514,112
45,Producto_45,Deportes,53063,389
46,Producto_46,Hogar,341437,377
47,Producto_47,Tecnologia,31517,452
48,Producto_48,Vestuario,132700,114
49,Producto_49,Hogar,40971,474
50,Producto_50,Hogar,312433,160
51,Producto_51,Hogar,177259,446
52,Producto_52,Hogar,418476,355
53,Producto_53,Tecnologia,150371,489
54,Producto_54,Hogar,73153,326
55,Producto_55,Vestuario,423651,139
56,Producto_56,Tecnologia,351584,493
57,Producto_57,Tecnologia,74102,57
58,Producto_58,Vestuario,419179,453
59,Producto_59,Hogar,313728,215
60,Producto_60,Tecnologia,96355,185
61,Producto_61,Tecnologia,71457,429
62,Producto_62,Deportes,280820,108
63,Producto_63,Tecnologia,254690,279
64,Producto_64,Vestuario,274084,353
65,Producto_65,Tecnologia,241981,307
66,Producto_66,Hogar,327493,72
67,Producto_67,Vestuario,245146,379
68,Producto_68,Tecnologia,36890,295
69,Producto_69,Deportes,228490,401
70,Producto_70,Tecnologia,262042,414
71,Producto_71,Deportes,43530,91
72,Producto_72,Vestuario,323923,125
73,Producto_73,Tecnologia,71160,190
74,Producto_74,Vestuario,204703,355
75,Producto_75,Vestuario,242877,308
76,Producto_76,Deportes,56998,456
77,Producto_77,Tecnologia,452108,385
78,Producto_78,Hogar,230480,281
79,Producto_79,Hogar,221957,223
80,Producto_80,Deportes,214049,262
81,Producto_81,Tecnologia,168865,268
82,Producto_82,Vestuario,353708,180
83,Producto_83,Vestuario,85026,401
84,Producto_84,Deportes,40197,96
85,Producto_85,Tecnologia,53879,271
86,Producto_86,Tecnologia,395379,428
87,Producto_87,Vestuario,430600,116
88,Producto_88,Tecnologia,312476,337
89,Producto_89,Vestuario,356279,112
90,Producto_90,Deportes,190387,497
91,Producto_91,Deportes,460130,419
92,Producto_92,Tecnologia,155800,357
93,Producto_93,Vestuario,189363,103
94,Producto_94,Hogar,86123,386
95,Producto_95,Deportes,122568,483
96,Producto_96,Tecnologia,188560,482
97,Producto_97,Vestuario,65232,440
98,Producto_98,Vestuario,305993,165
99,Producto_99,Deportes,448104,337
100,Producto_100,Tecnologia,324288,386
101,Producto_101,Vestuario,20179,142
102,Producto_102,Vestuario,373416,440
103,Producto_103,Vestuario,488151,223
104,Producto_104,Vestuario,8201,142
105,Producto_105,Hogar,301915,386
106,Producto_106,Deportes,41482,122
107,Producto_107,Tecnologia,53107,432
108,Producto_108,Hogar,202234,264
109,Producto_109,Deportes,183727,130
110,Producto_110,Vestuario,168387,419
111,Producto_111,Vestuario,412285,340
112,Producto_112,Tecnologia,468125,76
113,Producto_113,Hogar,87528,436
114,Producto_114,Tecnologia,358353,91
115,Producto_115,Vestuario,237318,388
116,Producto_116,Deportes,259626,360
117,Producto_117,Deportes,222151,189
118,Producto_118,Hogar,400807,312
119,Producto_119,Tecnologia,185969,270
120,Producto_120,Tecnologia,153502,397
121,Producto_121,Deportes,281265,391
122,Producto_122,Vestuario,28811,162
123,Producto_123,Deportes,319218,78
124,Producto_124,Tecnologia,112176,204
125,Producto_125,Hogar,407312,120
126,Producto_126,Vestuario,156753,217
127,Producto_127,Tecnologia,9052,304
128,Producto_128,Deportes,97114,116
129,Producto_129,Deportes,284226,410
130,Producto_130,Hogar,267281,336
131,Producto_131,Vestuario,42788,253
132,Producto_132,Tecnologia,233704,59
133,Producto_133,Deportes,487954,89
134,Producto_134,Vestuario,306863,269
135,Producto_135,Deportes,376981,377
136,Producto_136,Deportes,156789,108
137,Producto_137,Deportes,15934,216
138,Producto_138,Hogar,425123,366
139,Producto_139,Deportes,441221,403
140,Producto_140,Vestuario,51205,273
141,Producto_141,Tecnologia,132567,273
142,Producto_142,Deportes,279707,90
143,Producto_143,Deportes,461405,208
144,Producto_144,Vestuario,121167,220
145,Producto_145,Hogar,45044,311
146,Producto_146,Tecnologia,283189,311
147,Producto_147,Hogar,479964,447
148,Producto_148,Vestuario,189077,422
149,Producto_149,Hogar,128872,102
