id_venta,id_cliente,fecha_venta,monto
1,437,2023-03-29,104057
2,172,2023-03-02,39850
3,300,2023-02-08,43239
4,350,2023-02-12,91479
5,184,2023-03-02,109163
6,115,2023-03-15,132743
7,419,2023-01-26,112527
8,467,2023-03-14,220539
9,33,2023-01-01,115160
10,323,2023-03-02,141110
11,28,2023-02-08,108726
12,290,2023-03-06,88102
13,287,2023-03-01,119185
14,265,2023-02-13,172210
15,326,2023-01-07,65755
16,203,2023-02-09,10000
17,296,2023-03-21,72439
18,260,2023-01-04,161648
19,178,2023-03-17,69989
20,31,2023-03-02,137173
21,313,2023-03-07,197301
22,122,2023-01-16,154504
23,136,2023-01-10,17707
24,79,2023-01-01,136723
25,385,2023-03-21,87927
26,233,2023-03-20,108875
27,122,2023-03-16,58481
28,266,2023-03-07,130292
29,286,2023-03-17,161068
30,190,2023-02-16,95310
31,122,2023-02-03,49560
32,372,2023-02-14,59183
33,273,2023-01-20,206714
34,147,2023-01-19,109660
35,460,2023-02-15,83340
36,159,2023-03-24,158708
37,116,2023-03-29,81131
38,221,2023-01-09,99268
39,257,2023-02-04,62717
40,322,2023-02-07,136252
41,315,2023-02-10,120029
42,309,2023-02-21,190929
43,389,2023-01-16,112558
44,113,2023-02-06,89686
45,261,2023-03-31,60709
46,78,2023-03-16,142775
47,134,2023-02-13,78117
48,111,2023-03-31,112651
49,116,2023-03-12,85882
50,359,2023-02-13,194383
51,391,2023-02-11,65264
52,266,2023-02-14,37264
53,223,2023-02-20,118807
54,426,2023-02-22,101813
55,315,2023-01-15,95852
56,415,2023-03-22,156978
57,336,2023-03-30,150562
58,157,2023-01-29,144590
59,18,2023-01-18,209646
60,94,2023-02-03,85813
61,422,2023-03-08,172705
62,322,2023-03-21,89221
63,420,2023-01-08,141872
64,82,2023-03-15,10000
65,133,2023-03-18,87321
66,101,2023-01-02,146389
67,252,2023-01-09,166636
68,462,2023-01-04,114430
69,192,2023-03-11,63964
70,393,2023-01-10,169556
71,336,2023-01-04,201539
72,89,2023-02-01,24995
73,484,2023-02-15,123115
74,53,2023-03-21,143999
75,226,2023-01-21,138980
76,401,2023-01-09,44387
77,93,2023-02-04,134450
78,266,2023-01-04,124776
79,349,2023-03-14,105358
80,65,2023-02-28,162829
81,442,2023-03-06,166673
82,347,2023-01-16,98947
83,188,2023-01-13,199521
84,172,2023-03-16,66809
85,56,2023-01-12,225244
86,99,2023-02-18,65475
87,301,2023-01-08,194226
88,358,2023-03-24,65538
89,309,2023-02-06,150221
90,408,2023-03-31,167090
91,141,2023-02-09,88992
92,342,2023-01-10,160743
93,109,2023-01-20,74997
94,387,2023-03-25,95979
95,266,2023-03-01,131512
96,347,2023-01-16,129761
97,8,2023-01-10,146791
98,109,2023-01-28,154214
99,268,2023-01-27,261063
100,434,2023-03-30,165825
101,483,2023-01-30,127536
102,101,2023-02-17,120887
103,220,2023-02-18,120344
104,435,2023-03-08,136451
105,145,2023-03-26,90631
106,440,2023-02-07,207578
107,23,2023-03-07,135413
108,76,2023-02-07,75285
109,253,2023-03-25,81542
110,133,2023-01-16,163459
111,387,2023-03-04,138569
112,12,2023-03-09,88581
113,395,2023-01-04,73876
114,13,2023-01-31,74830
115,356,2023-03-18,140307
116,337,2023-03-24,103054
117,190,2023-01-31,37217
118,126,2023-01-06,142488
119,253,2023-01-04,10000
120,488,2023-02-14,82832
121,49,2023-02-27,195951
122,373,2023-03-03,157494
123,9,2023-03-19,10000
124,361,2023-03-26,81970
125,486,2023-03-13,72224
126,78,2023-03-31,166197
127,428,2023-02-25,135757
128,21,2023-03-05,187045
129,383,2023-03-25,153949
130,178,2023-01-02,149712
131,381,2023-01-12,64054
132,63,2023-01-07,92665
133,324,2023-02-27,92947
134,408,2023-03-11,46656
135,190,2023-03-21,186192
136,150,2023-03-31,137222
137,233,2023-03-02,23291
138,169,2023-01-21,165283
139,264,2023-02-11,72943
140,331,2023-02-12,155362
141,48,2023-03-19,86458
142,476,2023-01-22,61477
143,120,2023-01-17,58039
144,8,2023-03-01,35032
145,2,2023-01-25,79074
146,169,2023-01-09,27478
147,12,2023-02-20,139857
148,42,2023-01-09,72688
149,311,2023-02-27,102378
150,445,2023-02-11,133726
151,248,2023-03-07,50697
152,13,2023-01-17,31241
153,78,2023-03-08,204193
154,449,2023-01-14,23289
155,102,2023-01-26,71053
156,328,2023-02-04,139319
157,397,2023-01-15,137311
158,378,2023-03-24,97518
159,399,2023-03-10,52209
160,370,2023-03-26,179602
161,399,2023-01-30,148917
162,61,2023-01-10,114813
163,133,2023-03-17,111947
164,352,2023-03-15,164727
165,61,2023-03-27,184537
166,35,2023-02-07,125406
167,306,2023-01-27,122717
168,215,2023-02-01,155546
169,264,2023-01-22,10000
170,141,2023-01-24,204682
171,454,2023-02-04,57685
172,392,2023-03-29,110365
173,223,2023-02-22,149715
174,164,2023-02-24,111684
175,431,2023-03-22,183630
176,497,2023-03-14,223800
177,204,2023-03-27,122624
178,150,2023-01-12,157034
179,174,2023-02-28,150330
180,218,2023-02-19,180953
181,241,2023-02-21,120042
182,171,2023-01-26,112692
183,495,2023-03-07,106901
184,138,2023-01-04,125442
185,222,2023-01-29,170894
186,137,2023-02-25,62772
187,475,2023-02-28,159094
188,326,2023-01-08,111300
189,255,2023-02-14,102923
190,299,2023-01-13,26022
191,176,2023-03-22,70302
